date,stringency_index
9/18/2020,66.67
9/19/2020,66.67
9/20/2020,66.67
9/21/2020,62.96
9/22/2020,62.96
9/23/2020,62.96
9/24/2020,62.96
9/25/2020,62.96
9/26/2020,62.96
9/27/2020,62.96
9/28/2020,62.96
9/29/2020,62.96
9/30/2020,62.96
10/1/2020,61.11
10/2/2020,61.11
10/3/2020,61.11
10/4/2020,61.11
10/5/2020,61.11
10/6/2020,63.89
10/7/2020,63.89
10/8/2020,63.89
10/9/2020,63.89
10/10/2020,63.89
10/11/2020,63.89
10/12/2020,63.89
10/13/2020,63.89
10/14/2020,65.74
10/15/2020,65.74
10/16/2020,65.74
10/17/2020,65.74
10/18/2020,65.74
10/19/2020,65.74
10/20/2020,65.74
10/21/2020,65.74
10/22/2020,65.74
10/23/2020,75.93
10/24/2020,75.93
10/25/2020,75.93
10/26/2020,78.7
10/27/2020,78.7
10/28/2020,78.7
10/29/2020,78.7
10/30/2020,78.7
10/31/2020,78.7
11/1/2020,78.7
11/2/2020,78.7
11/3/2020,78.7
11/4/2020,78.7
11/5/2020,78.7
11/6/2020,82.41
11/7/2020,82.41
11/8/2020,82.41
11/9/2020,82.41
11/10/2020,82.41
11/11/2020,82.41
11/12/2020,82.41
11/13/2020,82.41
11/14/2020,82.41
11/15/2020,82.41
11/16/2020,82.41
11/17/2020,82.41
11/18/2020,82.41
11/19/2020,82.41
11/20/2020,82.41
11/21/2020,82.41
11/22/2020,82.41
11/23/2020,82.41
11/24/2020,82.41
11/25/2020,82.41
11/26/2020,82.41
11/27/2020,82.41
11/28/2020,82.41
11/29/2020,82.41
11/30/2020,82.41
12/1/2020,82.41
12/2/2020,82.41
12/3/2020,82.41
12/4/2020,80.56
12/5/2020,80.56
12/6/2020,80.56
12/7/2020,80.56
12/8/2020,80.56
12/9/2020,80.56
12/10/2020,80.56
12/11/2020,80.56
12/12/2020,80.56
12/13/2020,80.56
12/14/2020,80.56
12/15/2020,80.56
12/16/2020,80.56
12/17/2020,80.56
12/18/2020,80.56
12/19/2020,80.56
12/20/2020,80.56
12/21/2020,80.56
12/22/2020,80.56
12/23/2020,80.56
12/24/2020,82.41
12/25/2020,82.41
12/26/2020,82.41
12/27/2020,82.41
12/28/2020,78.7
12/29/2020,78.7
12/30/2020,78.7
12/31/2020,82.41
1/1/2021,82.41
1/2/2021,82.41
1/3/2021,82.41
1/4/2021,82.41
1/5/2021,82.41
1/6/2021,82.41
1/7/2021,78.7
1/8/2021,78.7
1/9/2021,78.7
1/10/2021,78.7
1/11/2021,76.85
1/12/2021,76.85
1/13/2021,76.85
1/14/2021,74.07
1/15/2021,74.07
1/16/2021,74.07
1/17/2021,74.07
1/18/2021,74.07
1/19/2021,74.07
1/20/2021,74.07
1/21/2021,74.07
1/22/2021,74.07
1/23/2021,74.07
1/24/2021,74.07
1/25/2021,74.07
1/26/2021,74.07
1/27/2021,74.07
1/28/2021,74.07
1/29/2021,74.07
1/30/2021,74.07
1/31/2021,74.07
2/1/2021,74.07
2/2/2021,74.07
2/3/2021,74.07
2/4/2021,74.07
2/5/2021,74.07
2/6/2021,74.07
2/7/2021,74.07
2/8/2021,74.07
2/9/2021,74.07
2/10/2021,74.07
2/11/2021,74.07
2/12/2021,74.07
2/13/2021,74.07
2/14/2021,74.07
2/15/2021,77.78
2/16/2021,77.78
2/17/2021,77.78
2/18/2021,77.78
2/19/2021,77.78
2/20/2021,77.78
2/21/2021,77.78
2/22/2021,77.78
2/23/2021,77.78
2/24/2021,77.78
2/25/2021,77.78
2/26/2021,77.78
2/27/2021,77.78
2/28/2021,77.78
3/1/2021,77.78
3/2/2021,77.78
3/3/2021,77.78
3/4/2021,77.78
3/5/2021,77.78
3/6/2021,79.63
3/7/2021,79.63
3/8/2021,79.63
3/9/2021,79.63
3/10/2021,79.63
3/11/2021,79.63
3/12/2021,79.63
3/13/2021,79.63
3/14/2021,79.63
3/15/2021,79.63
3/16/2021,79.63
3/17/2021,79.63
3/18/2021,79.63
3/19/2021,79.63
3/20/2021,79.63
3/21/2021,79.63
3/22/2021,79.63
3/23/2021,79.63
3/24/2021,79.63
3/25/2021,79.63
3/26/2021,79.63
3/27/2021,79.63
3/28/2021,79.63
3/29/2021,79.63
3/30/2021,79.63
3/31/2021,79.63
4/1/2021,79.63
4/2/2021,79.63
4/3/2021,83.33
4/4/2021,83.33
4/5/2021,83.33
4/6/2021,75.93
4/7/2021,78.7
4/8/2021,78.7
4/9/2021,78.7
4/10/2021,78.7
4/11/2021,78.7
4/12/2021,78.7
4/13/2021,78.7
4/14/2021,78.7
4/15/2021,78.7
4/16/2021,78.7
4/17/2021,78.7
4/18/2021,78.7
4/19/2021,78.7
4/20/2021,78.7
4/21/2021,78.7
4/22/2021,78.7
4/23/2021,78.7
4/24/2021,78.7
4/25/2021,78.7
4/26/2021,75.93
4/27/2021,75.93
4/28/2021,75.93
4/29/2021,75.93
4/30/2021,75.93
5/1/2021,73.15
5/2/2021,73.15
5/3/2021,73.15
5/4/2021,73.15
5/5/2021,73.15
5/6/2021,73.15
5/7/2021,73.15
5/8/2021,73.15
5/9/2021,73.15
5/10/2021,69.44
5/11/2021,69.44
5/12/2021,69.44
5/13/2021,69.44
5/14/2021,69.44
5/15/2021,69.44
5/16/2021,69.44
5/17/2021,69.44
5/18/2021,69.44
5/19/2021,69.44
5/20/2021,69.44
5/21/2021,69.44
5/22/2021,69.44
5/23/2021,69.44
5/24/2021,66.67
5/25/2021,66.67
5/26/2021,66.67
5/27/2021,71.3
5/28/2021,71.3
5/29/2021,71.3
5/30/2021,71.3
5/31/2021,71.3
6/1/2021,71.3
6/2/2021,71.3
6/3/2021,71.3
6/4/2021,71.3
6/5/2021,71.3
6/6/2021,71.3
6/7/2021,71.3
6/8/2021,71.3
6/9/2021,71.3
6/10/2021,71.3
6/11/2021,71.3
6/12/2021,71.3
6/13/2021,71.3
6/14/2021,71.3
6/15/2021,71.3
6/16/2021,71.3
6/17/2021,71.3
6/18/2021,71.3
6/19/2021,71.3
6/20/2021,71.3
6/21/2021,69.91
6/22/2021,69.91
6/23/2021,69.91
6/24/2021,69.91
6/25/2021,69.91
6/26/2021,69.91
6/27/2021,69.91
6/28/2021,69.91
6/29/2021,69.91
6/30/2021,69.91
7/1/2021,46.31
7/2/2021,46.29
7/3/2021,46.28
7/4/2021,46.26
7/5/2021,46.25
7/6/2021,46.23
7/7/2021,46.21
7/8/2021,46.19
7/9/2021,46.16
7/10/2021,46.14
7/11/2021,46.12
7/12/2021,46.1
7/13/2021,46.08
7/14/2021,74.3
7/15/2021,74.28
7/16/2021,74.25
7/17/2021,74.23
7/18/2021,74.22
7/19/2021,74.19
7/20/2021,74.17
7/21/2021,74.15
7/22/2021,74.13
7/23/2021,74.11
7/24/2021,74.09
7/25/2021,74.08
7/26/2021,74.06
7/27/2021,74.04
7/28/2021,74.02
7/29/2021,74
7/30/2021,56.86
7/31/2021,56.84
8/1/2021,52.34
8/2/2021,52.28
8/3/2021,52.22
8/4/2021,52.16
8/5/2021,52.11
8/6/2021,54.48
8/7/2021,54.43
8/8/2021,54.39
8/9/2021,54.32
8/10/2021,54.27
8/11/2021,54.22
8/12/2021,54.17
8/13/2021,54.13
8/14/2021,54.12
8/15/2021,54.11
8/16/2021,54.08
8/17/2021,54.04
8/18/2021,54.01
8/19/2021,53.98
8/20/2021,53.94
8/21/2021,53.92
8/22/2021,53.9
8/23/2021,53.86
8/24/2021,53.82
8/25/2021,53.77
8/26/2021,53.72
8/27/2021,53.67
8/28/2021,53.64
8/29/2021,53.61
8/30/2021,54.95
8/31/2021,54.89
9/1/2021,58.31
9/2/2021,58.23
9/3/2021,58.15
9/4/2021,58.1
9/5/2021,58.06
9/6/2021,57.98
9/7/2021,57.9
9/8/2021,57.82
9/9/2021,57.73
9/10/2021,57.65
9/11/2021,57.59
9/12/2021,57.55
9/13/2021,57.47
9/14/2021,57.4
9/15/2021,57.33
9/16/2021,57.26
9/17/2021,57.2
9/18/2021,57.15
9/19/2021,57.11
9/20/2021,57.04
9/21/2021,56.97
9/22/2021,56.9
9/23/2021,56.84
9/24/2021,56.78
9/25/2021,56.73
9/26/2021,56.71
9/27/2021,56.65
9/28/2021,56.6
9/29/2021,56.55
9/30/2021,56.51
10/1/2021,56.47
10/2/2021,56.44
10/3/2021,56.42
10/4/2021,56.38
10/5/2021,56.35
10/6/2021,56.32
10/7/2021,56.29
10/8/2021,56.25
10/9/2021,54.83
10/10/2021,54.81
10/11/2021,54.78
10/12/2021,54.74
10/13/2021,54.71
10/14/2021,54.67
10/15/2021,50.67
10/16/2021,50.62
10/17/2021,50.6
10/18/2021,50.55
10/19/2021,48.66
10/20/2021,48.62
10/21/2021,48.58
10/22/2021,48.54
10/23/2021,48.51
10/24/2021,48.49
10/25/2021,50.32
10/26/2021,50.29
10/27/2021,50.26
10/28/2021,50.23
10/29/2021,50.19
